titles,days left to bid,url,description,skills,budget,verified_traits_list,competition_sum,competition_list,id,Payment Verified,Made a Deposit,E-mail Verified,currency,min_value,max_value,per_hour
Transcribe 52 page PDF to WORD doc. Do NOT bid until looking at EXAMPLE reading ALL details.,6,https://www.freelancer.com/projects/transcription/transcribe-page-pdf-word-doc/,"DO NOT BID WITHOUT READING ALL DETAILS AND LOOKING AT THE EXAMPLE ATTACHED SO THAT YOU KNOW WHAT THIS PROJECT INVOLVES.

We have a 52 page PDF that requires manual transcription to a WORD doc.  You must manually transcribe ALL of the content of this PDF into text WORD doc.

***See the image attached which is 1 (ONE) of the actual 52 pages you will be transcribing.  There are 52 of these in the project which require transcription.

***NOTE: This PDF cannot be converted into a WORD doc so don't bid thinking you can do that. It WILL NOT WORK.  The PDF is made up of photo copied images and converting to Word will only create a Word version of the images, no text as required.***  

MANUAL transcription is required.  There is no shortcut.

We DO NOT award projects to ANY provider who CHANGES THEIR BID after discussion. Everything you need to make an accurate bid is provided right here. If you do not take time to read it, then we will not be working together - EVER. ***Make your first bid accurate.***

Payment: We will pay 100% upon satisfactory delivery of 100% of the work in the format specified. Look at our track record, we have completed many, many projects and have excellent ratings.

Make sure you consider these payment terms before bidding.

Thank you for looking at our project. We are ready to award right now.","Transcription, Copy Typing, Word, Data Entry", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",66 freelancers are bidding on average $103 for this job,"[{'url': '/u/DreamersLTD', 'rating': '4.9'}, {'url': '/u/BithiXpert', 'rating': '5.0'}, {'url': '/u/rashidm1982', 'rating': '5.0'}, {'url': '/u/safiqulislam67', 'rating': '5.0'}, {'url': '/u/sultanang464', 'rating': '5.0'}, {'url': '/u/MdAlamgirHoosain', 'rating': '4.9'}, {'url': '/u/mjanchi', 'rating': '5.0'}, {'url': '/u/imtyzooel71n', 'rating': '5.0'}, {'url': '/u/kristagray15', 'rating': '5.0'}, {'url': '/u/mdrakibuddn', 'rating': '5.0'}, {'url': '/u/BTranslated', 'rating': '4.9'}, {'url': '/u/manwar4393', 'rating': '4.9'}, {'url': '/u/semantix19', 'rating': '5.0'}, {'url': '/u/Momalqadir', 'rating': '4.9'}, {'url': '/u/nadeeemsarwar', 'rating': '4.9'}, {'url': '/u/nisbatshaw25', 'rating': '5.0'}, {'url': '/u/josanta', 'rating': '5.0'}, {'url': '/u/snehamehta525', 'rating': '5.0'}, {'url': '/u/gowthamsarathy', 'rating': '5.0'}]",36,[1],[2],[3],USD,30,250,False
Content creation about latest news about top trading international stocks,6,https://www.freelancer.com/projects/content-writing/content-creation-about-latest-news/,I need help with daily  production about latest news about top trading international stocks.,"Content Writing, Article Writing, Article Rewriting", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",9 freelancers are bidding on average $26 for this job,"[{'url': '/u/Expertsground', 'rating': '4.9'}, {'url': '/u/maaria1991', 'rating': '4.9'}, {'url': '/u/HelpingDoor', 'rating': '4.8'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/WritingLabb', 'rating': '4.6'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/LionConcepts', 'rating': '0.0'}, {'url': '/u/internativelabs5', 'rating': '0.0'}]",37,[1],[2],[3],USD,10,30,False
i need to scrape big data and process thousands on queries per second -- 3,6,https://www.freelancer.com/projects/php/need-scrape-big-data-process/,i need to scrape big data and process thousands on queries per second,"PHP, Web Scraping, MySQL, Python, Software Architecture", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",19 freelancers are bidding on average $180 for this job,"[{'url': '/u/rukshanlancer', 'rating': '5.0'}, {'url': '/u/MashoodurRehman1', 'rating': '5.0'}, {'url': '/u/w3saddam', 'rating': '5.0'}, {'url': '/u/Nehag510', 'rating': '5.0'}, {'url': '/u/freelancerpoint', 'rating': '5.0'}, {'url': '/u/josanta', 'rating': '5.0'}, {'url': '/u/mdjafferali', 'rating': '5.0'}, {'url': '/u/balirkprogrammva', 'rating': '5.0'}, {'url': '/u/adnanarifali', 'rating': '4.5'}, {'url': '/u/Ahsan01AHMAD', 'rating': '4.7'}, {'url': '/u/sergeymit', 'rating': '5.0'}, {'url': '/u/mykrsolovlo', 'rating': '5.0'}, {'url': '/u/internativelabs5', 'rating': '0.0'}, {'url': '/u/Neharashidjameel', 'rating': '0.0'}, {'url': '/u/NIS001', 'rating': '0.0'}, {'url': '/u/tahamt630', 'rating': '0.0'}, {'url': '/u/RozDev', 'rating': '0.0'}, {'url': '/u/skylarktechin', 'rating': '0.0'}]",38,[1],[2],[3],USD,30,250,False
Synchronous Reluctance Motor optimization,6,https://www.freelancer.com/projects/electronics/synchronous-reluctance-motor/,"I need a skilled eletrocnics engineer with vast knowledge in electrical machines to improve on a Synchronous reluctance motor design in order to reduce required current for a given torque output.

The motor is already designed and extensively documented, this is just a minor tweak in the design for increased performance out of the existing design.","Electronics, Electrical Engineering, Engineering, Simulation", $250-750 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",2 freelancers are bidding on average $253 for this job,"[{'url': '/u/graphicqueen767', 'rating': '0.0'}]",39,[1],[2],[3],USD,250,750,False
consulting client -- 2,6,https://www.freelancer.com/projects/research-writing/consulting-client-33164136/,"
Slide deck
This slide deck is in addition to the chapter slides to be released this week. Before you read/ go through these slides, be sure you have read the chapter (#20) , especially the sections of performance and productivity improvement tools and have listened to the audio/video recordings uploaded for the chapter. 

Deloitte ReadingFile
This is a reading from Deloitte. Reading it in conjunction with Chapter #20 of your text book will help you see how the top consulting companies look at this facet of performance consulting.
Assignment: Productivity Tools
As part of this week's assignment, you are tasked to do the following (refer to chapter 20):
Select any 8 productivity tools from Box 20.3 & 20.4 of your textbook that you deem very powerful in the world of consulting ( select at least 4  from each box). For each of the tools selected, write a 1-2 page summary, describing what the tool does, why you chose it to be a preferred tool in your list of eight and provide specific examples of instances where each tool can be very helpful. You will be providing examples that are related to practical scenarios you have seen at work or researched from academic sources over the internet - be specific and clear. Ambiguous examples will not return a high grade. 

The report can be 8-16 pages long, double spaced, font 12, Times New Roman, 1-inch margin on all sides of an A4 size page setting


Select any 8 productivity tools from Box 20.3 & 20.4 of your textbook that you deem very powerful in the world of consulting ( select at least 4  from each box). For each of the tools selected, write a 1-2 page summary, describing what the tool does, why you chose it to be a preferred tool in your list of eight and provide specific examples of instances where each tool can be very helpful. You will be providing examples that are related to practical scenarios you have seen at work or researched from academic sources over the internet - be specific and clear. Ambiguous examples will not return a high grade. 

The report can be 8-16 pages long, double spaced, font 12, Times New Roman, 1-inch margin on all sides of an A4 size page setting. The assignment will be submitted via Dropbox.","Research Writing, Business Analysis, Business Writing, Management, Report Writing", ₹600-1500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹600 for this job,[],40,[1],[2],[3],INR,600,1500,False
PDF document update and consolidate using my logo and branding,6,https://www.freelancer.com/projects/video-services/pdf-document-update-consolidate-using/,"I have a 7-8 page pdf document that I need to have consolidated, my logo placed on it and have it look professional.  I am using this as a submital.

enclosed is an example of what I need.","Video Services, 3D Animation, Video Editing, PDF, Adobe Illustrator", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",19 freelancers are bidding on average $86 for this job,"[{'url': '/u/NomanJk', 'rating': '4.9'}, {'url': '/u/sanjaypatel2', 'rating': '5.0'}, {'url': '/u/asadkhan3533', 'rating': '5.0'}, {'url': '/u/zaib14414', 'rating': '5.0'}, {'url': '/u/Nidagold', 'rating': '4.7'}, {'url': '/u/azraazeen9', 'rating': '4.8'}, {'url': '/u/tanvirmrt', 'rating': '5.0'}, {'url': '/u/neha1990love', 'rating': '4.8'}, {'url': '/u/SatyrsZ', 'rating': '5.0'}, {'url': '/u/rezaulalam573', 'rating': '5.0'}, {'url': '/u/moosadesai2030', 'rating': '5.0'}, {'url': '/u/nadeeemsarwar', 'rating': '5.0'}, {'url': '/u/eaglegraphics247', 'rating': '5.0'}, {'url': '/u/dotcircle64', 'rating': '5.0'}, {'url': '/u/deductivedesign1', 'rating': '0.0'}, {'url': '/u/smfatimah32', 'rating': '0.0'}, {'url': '/u/MZ106', 'rating': '0.0'}, {'url': '/u/adeelnajam321', 'rating': '0.0'}]",41,[1],[2],[3],USD,30,250,False
New Yorker style cartoon,6,https://www.freelancer.com/projects/illustration/new-yorker-style-cartoon-33164119/,"Two dogs are looking at large framed art on the wall, I will sketch.","Illustration, Graphic Design, Illustrator, Logo Design", $10-30 USD,['E-mail Verified'],46 freelancers are bidding on average $31 for this job,"[{'url': '/u/zaib14414', 'rating': '4.9'}, {'url': '/u/exxarts', 'rating': '4.8'}, {'url': '/u/tanvirmrt', 'rating': '4.9'}, {'url': '/u/rawtech19', 'rating': '4.8'}, {'url': '/u/GraphicArt13', 'rating': '4.9'}, {'url': '/u/LionConcepts', 'rating': '5.0'}, {'url': '/u/eDesignerExpert', 'rating': '4.9'}, {'url': '/u/ArtisticQueens', 'rating': '5.0'}, {'url': '/u/AngelDezines', 'rating': '4.9'}, {'url': '/u/SidCoGraphics', 'rating': '4.8'}, {'url': '/u/iServe', 'rating': '4.9'}, {'url': '/u/GraficxDesigner', 'rating': '5.0'}, {'url': '/u/DesiignGeeks', 'rating': '4.9'}, {'url': '/u/eaglegraphics247', 'rating': '5.0'}, {'url': '/u/swayg', 'rating': '5.0'}, {'url': '/u/sahildogra222', 'rating': '4.9'}, {'url': '/u/mehtaanjli05', 'rating': '5.0'}, {'url': '/u/Maplegroupcom', 'rating': '4.7'}, {'url': '/u/zeeshanmomin722', 'rating': '4.8'}]",42,,,[3],USD,10,30,False
Interior designer,6,https://www.freelancer.com/projects/interior-design/interior-designer-33164116/,"2 halls , side by side needed to be customized and designed for a coworking space. Dimension of each is 10×20 in feets. Need furniture suppliers in the cheapest price along with a recreational zone. Also a 3d walk-through of a property is needed.","Interior Design, 3D Rendering, 3D Modelling, Home Design, Building Architecture", ₹12500-37500 INR,['E-mail Verified'],4 freelancers are bidding on average ₹16313 for this job,"[{'url': '/u/azraazeen9', 'rating': '4.9'}, {'url': '/u/samaanwafeek1996', 'rating': '5.0'}, {'url': '/u/Kubragull', 'rating': '5.0'}]",43,,,[3],INR,12500,37500,False
hand-written documents transfer from PDF to MS Word,6,https://www.freelancer.com/projects/editing/hand-written-documents-transfer-from-33164106/,"Because these fictional short stories were hand-written and are in PDF file format, No need to review for grammar or spelling; I can handle that later. Just need them in clean MS Word documents that I can work with on a PC.","Editing, Word, Proofreading, PDF, Copywriting", ₹750-1250 INR / hour,['E-mail Verified'],Similar jobs,[],44,,,[3],INR,750,1250,True
Spanish Translation,6,https://www.freelancer.com/projects/translation/spanish-translation-33164107/,Our share is looking for a freelancer to take on a Spanish translation project ,"Translation, Spanish, English (US) Translator, Spanish (Spain), English (UK) Translator", $250-750 USD,['E-mail Verified'],2 freelancers are bidding on average $375 for this job,"[{'url': '/u/valeriaaguero', 'rating': '0.0'}]",45,,,[3],USD,250,750,False
Website Content,6,https://www.freelancer.com/projects/content-writing/website-content-33164066/,"I am looking for someone to write content for my website. It's for a travel agency/agent website.
Will be writing content on destinations (basically describing it), on Experiences (Types of trips that can be taken), and about the company, and why should book with us.

Very small and simple project.","Content Writing, Copywriting, Article Writing, Ghostwriting, Creative Writing", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",28 freelancers are bidding on average $20 for this job,"[{'url': '/u/revival786', 'rating': '4.7'}, {'url': '/u/mudassariqbal58', 'rating': '4.9'}, {'url': '/u/sans300', 'rating': '4.8'}, {'url': '/u/Expertsground', 'rating': '4.9'}, {'url': '/u/maaria1991', 'rating': '4.9'}, {'url': '/u/HelpingDoor', 'rating': '4.8'}, {'url': '/u/WritingLabb', 'rating': '4.6'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/WinsomeWriting', 'rating': '4.9'}, {'url': '/u/varimaxanalytic', 'rating': '5.0'}, {'url': '/u/Maherun75', 'rating': '5.0'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/Komalateeq', 'rating': '4.5'}, {'url': '/u/InoovativeThink', 'rating': '4.6'}, {'url': '/u/BoostSEO2012', 'rating': '5.0'}, {'url': '/u/Ajawwad2021', 'rating': '4.0'}, {'url': '/u/hassanab86', 'rating': '5.0'}, {'url': '/u/logintobusiness', 'rating': '5.0'}, {'url': '/u/enesmaliksoyturk', 'rating': '5.0'}]",46,[1],[2],[3],USD,10,30,False
sanskrit content writing,6,https://www.freelancer.com/projects/content-writing/sanskrit-content-writing/,need a sanskrit scholar to create content for a website .,"Content Writing, Article Writing, Copywriting, Ghostwriting, Article Rewriting", ₹1500-12500 INR,['E-mail Verified'],Other jobs from this employer,[],47,,,[3],INR,1500,12500,False
project_modern_ui_ux_gpt3_Using_REACT,6,https://www.freelancer.com/projects/javascript/project-modern-gpt-using-react/,In this project I am using REACT. JS . after downland the file run command -- npm install and then run command npm start . Then u can see the actual project and creativity. ,"JavaScript, HTML5, Website Design, CSS, React.js", ₹12500-37500 INR,"['E-mail Verified', 'Payment Verified']",1 freelancer is bidding on average ₹25000 for this job,[],48,[1],,[3],INR,12500,37500,False
Google Optimze,6,https://www.freelancer.com/projects/css/google-optimze/,"Need help with google optimize. html, css, javasscript for A/B Tests of our website","CSS, HTML, HTML5, JavaScript", $8-15 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",28 freelancers are bidding on average $12/hour for this job,"[{'url': '/u/dexdel', 'rating': '4.9'}, {'url': '/u/asiflak', 'rating': '4.9'}, {'url': '/u/Rekhathakur', 'rating': '5.0'}, {'url': '/u/Eminencehub', 'rating': '5.0'}, {'url': '/u/divumanocha', 'rating': '4.6'}, {'url': '/u/SiteSpeedExpert', 'rating': '5.0'}, {'url': '/u/MarkoNikovic', 'rating': '4.8'}, {'url': '/u/dfordesigners', 'rating': '4.7'}, {'url': '/u/Nehag510', 'rating': '4.9'}, {'url': '/u/Apurva510', 'rating': '4.7'}, {'url': '/u/smirnovvvasyl', 'rating': '5.0'}, {'url': '/u/ghazaryanhovhan2', 'rating': '5.0'}, {'url': '/u/EgorTerzikian', 'rating': '5.0'}, {'url': '/u/kirchnerleo13', 'rating': '5.0'}, {'url': '/u/webbookstudios', 'rating': '5.0'}, {'url': '/u/Kttrine26', 'rating': '4.9'}, {'url': '/u/NykytaShorst', 'rating': '5.0'}, {'url': '/u/suespacio', 'rating': '3.6'}, {'url': '/u/NIS001', 'rating': '5.0'}]",49,[1],[2],[3],USD,8,15,True
Man Banksy style,7,https://www.freelancer.com/contest/man-banksy-style-2065201.html,,,,[],,[],50,,,,,,,
