titles,days left to bid,url,description,skills,budget,verified_traits_list,competition_sum,competition_list
Autocad Drawing -- 2,6 days left,https://www.freelancer.com/projects/autocad/autocad-drawing-33189490/,Want to fix a road barrier on a street. Want the drawing in autocad and pdf. Kindly see attachment. Message me for clarification. Thank you,"AutoCAD, CAD/CAM, Building Architecture, Drafting, Civil Engineering", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",5 freelancers are bidding on average $27 for this job,"[{'url': '/u/KirillRomadanov1', 'rating': '4.8'}, {'url': '/u/mjanchi', 'rating': '5.0'}, {'url': '/u/FedorKhyazkin1', 'rating': '5.0'}, {'url': '/u/pp8180713', 'rating': '5.0'}]"
I need a Elementor Expert,6 days left,https://www.freelancer.com/projects/website-design/need-elementor-expert/,To upload information via Elementor.,"Website Design, Elementor", ₹200-400 INR / hour,['E-mail Verified'],1 freelancer is bidding on average ₹1300 for this job,[]
"Want to upload 100 products with header, photos and description",6 days left,https://www.freelancer.com/projects/website-design/want-upload-products-with-header/,Online Store ready-made garments ,"Website Design, eCommerce, HTML, Shopping Carts, Graphic Design", ₹600-1500 INR,['E-mail Verified'],1 freelancer is bidding on average ₹1050 for this job,[]
draw a 2d drawing of 3d object (projection) in autocad,6 days left,https://www.freelancer.com/projects/autocad/draw-drawing-object-projection-autocad/,"draw a 2d drawing of a 3d object (projection) in AutoCAD
",AutoCAD, $2-8 USD / hour,['E-mail Verified'],1 freelancer is bidding on average $25 for this job,[]
plot a orthographic projections for given template in autocad,6 days left,https://www.freelancer.com/projects/autocad/plot-orthographic-projections-for-given/,"I want orthographic projections of given views 
the template will be given
you are expected to do this within two hours
the sample is attached here",AutoCAD, $10-30 USD,['E-mail Verified'],5 freelancers are bidding on average $28 for this job,"[{'url': '/u/gusakovanastenka', 'rating': '4.8'}, {'url': '/u/MuntherAlsaafin', 'rating': '5.0'}, {'url': '/u/Adelhamdy97', 'rating': '0.0'}, {'url': '/u/hsn987', 'rating': '0.0'}]"
Russian to English Tutor,6 days left,https://www.freelancer.com/projects/russian/russian-english-tutor/,"Hi, 

I would like to hire a tutor for my family member who does not speak English. Looking for a long-term tutor to get their foundation and proficiency up. ","Russian, Translation, English (US) Translator, English (UK) Translator, Ukrainian", $15-25 CAD / hour,['E-mail Verified'],Similar jobs,[]
I need medical coding,6 days left,https://www.freelancer.com/projects/medical/need-medical-coding/,"Medical coder
Medical billing
Medical content writing","Medical, Coding", $15-25 USD / hour,['E-mail Verified'],Similar jobs,[]
Raspberry Pi Captive Portal Wifi Router for a LAN without internet.,6 days left,https://www.freelancer.com/projects/linux/raspberry-captive-portal-wifi-router/,"I'm a DJ that provides karaoke entertainment at bars and restaurants. I use my laptop for these karaoke shows. My karaoke dj program has the functionality to offer my customers the ability to log in to it to view their singers history's on their phones. I have a simple wifi router running with my setup which is never connected to the internet. My laptop and the customers phones both get on a network called ""XK Songbook"". My laptop always uses a static IP address. ex [login to view URL] Then the customers get on the ""XK Songbook"" wifi network. Their IP Addresses are DHCP assigned by the router. Then they go to the address [login to view URL] to search the songlist and their singer's histories. Right now it's a two step process with two separate QR Codes. I'd like to combine these steps in to a one step QR Code which would get them on the wifi network and direct them to the web interface of the karaoke program running on my laptop. Can this be done? Thanks!","Linux, Network Administration, C Programming, System Admin, Computer Security", $30-250 USD,['E-mail Verified'],Similar jobs,[]
"Python , K mean clustering",6 days left,https://www.freelancer.com/projects/python/python-mean-clustering/,"Data set , analysis and results","Python, Software Architecture, Machine Learning (ML), Data Processing, C Programming", €8-30 EUR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average €25 for this job,[]
Videographer and stills photos,6 days left,https://www.freelancer.com/projects/video-editing/videographer-stills-photos/,"2 shot clips in Camden, London  this morning at 10 am VERY UrGENT","Video Editing, Photoshop, Video Services, After Effects", $30-250 USD,['E-mail Verified'],5 freelancers are bidding on average $190 for this job,"[{'url': '/u/mehtaanjli05', 'rating': '5.0'}, {'url': '/u/sohail8464', 'rating': '5.0'}, {'url': '/u/marinafokina9696', 'rating': '5.0'}, {'url': '/u/Friends4it', 'rating': '4.9'}]"
%% Need character design %%,6 days left,https://www.freelancer.com/projects/graphic-design/need-character-design-33189483/,"I need character designed /draw ,  show me you past artworks and drawings to be considered for hire. ","Graphic Design, Photoshop, Illustrator, Caricature & Cartoons, 2D Drawing", $10-150 USD,"['E-mail Verified', 'Payment Verified']",9 freelancers are bidding on average $89 for this job,"[{'url': '/u/wingtechnologies', 'rating': '4.9'}, {'url': '/u/operat0r', 'rating': '4.9'}, {'url': '/u/hossainbaf', 'rating': '4.8'}, {'url': '/u/Emator', 'rating': '4.8'}, {'url': '/u/dotcircle64', 'rating': '5.0'}, {'url': '/u/Resolutionn', 'rating': '0.0'}, {'url': '/u/RichardWealth80', 'rating': '0.0'}, {'url': '/u/krissalkov', 'rating': '0.0'}]"
Victorian Masters Athletics Championships,6 days left,https://www.freelancer.com/projects/general-labor/victorian-masters-athletics/,Up to 6 people required on Saturday 19th March from 7.15 am to 2pm & Up to 10 people requirrd Sunday 20 th March from 8.30 am to 5pm to assist with running of an Athletics event at Lakeside Stadium Albert Park. Payment rate $20hr. ,General Labor, $8-15 AUD / hour,['E-mail Verified'],Similar jobs,[]
new logo for me,6 days left,https://www.freelancer.com/projects/logo-design/new-logo-for-33189455/,"Design new logo - simple logo
","Logo Design, Graphic Design, Photoshop, Illustrator", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",65 freelancers are bidding on average $21 for this job,"[{'url': '/u/Alex1x23', 'rating': '4.9'}, {'url': '/u/exxarts', 'rating': '4.8'}, {'url': '/u/glowflydesigner', 'rating': '4.9'}, {'url': '/u/zenevatech', 'rating': '4.8'}, {'url': '/u/Rakibul0696', 'rating': '5.0'}, {'url': '/u/graphixpower2', 'rating': '4.8'}, {'url': '/u/crea8ivetechno', 'rating': '4.8'}, {'url': '/u/graphicbeez', 'rating': '5.0'}, {'url': '/u/UpmarkCreation', 'rating': '4.9'}, {'url': '/u/mehtaanjli05', 'rating': '5.0'}, {'url': '/u/alrightsolutions', 'rating': '4.9'}, {'url': '/u/CrazzyArt', 'rating': '4.9'}, {'url': '/u/Stunningart', 'rating': '4.9'}, {'url': '/u/sahildogra222', 'rating': '4.9'}, {'url': '/u/Kreaytivelions', 'rating': '4.9'}, {'url': '/u/creativegraaphic', 'rating': '4.8'}, {'url': '/u/vipjcreative', 'rating': '4.9'}, {'url': '/u/jinug', 'rating': '4.9'}, {'url': '/u/Alit31', 'rating': '4.9'}]"
Content Write For Education Website,6 days left,https://www.freelancer.com/projects/articles/content-write-for-education-website-33189480/,"Hello Folks, Looking for the content writer to write a blog for our new launch startup Edtech platform This blog will be knowledge-based writing & very much focus on digital marketing Interested candidate","Article Writing, Content Writing, Ghostwriting, Copywriting, Article Rewriting", $15-25 USD / hour,['E-mail Verified'],14 freelancers are bidding on average $17/hour for this job,"[{'url': '/u/Digitalexpertuae', 'rating': '4.9'}, {'url': '/u/SupremeWriters', 'rating': '4.9'}, {'url': '/u/FineIdeas', 'rating': '4.9'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/writingvector', 'rating': '5.0'}, {'url': '/u/varimaxanalytic', 'rating': '5.0'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/fahadayyaz5', 'rating': '4.9'}, {'url': '/u/Monroeville', 'rating': '5.0'}, {'url': '/u/InoovativeThink', 'rating': '4.6'}, {'url': '/u/yogita0605', 'rating': '4.1'}, {'url': '/u/Annmarie1995', 'rating': '0.0'}, {'url': '/u/rabeaamna', 'rating': '0.0'}]"
Find marketing influencers and communities in social media (Indonesia),6 days left,https://www.freelancer.com/projects/internet-marketing/find-marketing-influencers-communities-33189482/,"I need an assistance on data mining and research to find digital marketing influencers and experts in Indonesia. 

1. The first task is to find marketing/digital marketing/SEO/SMM influencers in social media, such as: Instagram, Twitter, Youtube, TikTok.

Expectations:
Influencer should be 21 years old plus+
Influencer posts information about digital marketing tools, cases, strategies, their own experience. 
Posts should have an educational value and useful, and contain some 
Would be great, if an influencer has speaker and educator experience (as a webinar host, or online course speaker, or a lecturer etc)
Influencer have at least one account in following social media: Instagram, Twitter, Youtube, TikTok.
The account should have not less than 1500 subscribers 

2. The second task is to find influencers, who worked with Ruang Guru, Quipper, Binar academy

3. The third task is to find digital marketing experts (SEO, SMM, Google ads experts, marketing strategists), who worked as a speaker (lecturer) with Binar Academy, Ruang Guru, Quipper

4.  The fourth task is to find lecturers from Indonesian universities, who are giving the lectures for the following topics

1. marketing strategy
2. digital marketing 
3. marketing tools
4. SMM
As a result of the task I need a list of contacts: Linkedin, email, WhatsApp, telegram  

5. The last task is to find digital marketing chats and communities in WhatsApp/telegram/Line
As a result I expect the links/invitation to these communities ","Internet Marketing, Social Media Marketing, Virtual Assistant, Data Mining", $30-250 USD,['E-mail Verified'],1 freelancer is bidding on average $250 for this job,[]
We are looking for a fabric designer !,6 days left,https://www.freelancer.com/projects/graphic-design/are-looking-for-fabric-designer/,"This task is an excellent opportunity to work with an innovative company looking for someone skilled for this task. So we are looking for you! Someone with serious design talent and experience in the industry; what do you offer? 

We are looking for someone to help us design a pattern of linen structure. We will use the design to print on glass in the global home decorating retail market. The lively but straightforward look and soft feeling are vital. COSY - SOFT - NATURAL - FEMININ is essential feelings.

If you are out there, there is more to come.

We are in for the long run.","Graphic Design, Fashion Design, Illustration, Concept Design, Fabric Printing Design", $25-75 USD / hour,['E-mail Verified'],1 freelancer is bidding on average $50 for this job,[]
Autocad Drawing -- 2,6 days left,https://www.freelancer.com/projects/autocad/autocad-drawing-33189490/,Want to fix a road barrier on a street. Want the drawing in autocad and pdf. Kindly see attachment. Message me for clarification. Thank you,"AutoCAD, CAD/CAM, Building Architecture, Drafting, Civil Engineering", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",12 freelancers are bidding on average $25 for this job,"[{'url': '/u/gusakovanastenka', 'rating': '4.9'}, {'url': '/u/idealstudio1', 'rating': '5.0'}, {'url': '/u/CACGC', 'rating': '4.9'}, {'url': '/u/engrrockyalam', 'rating': '4.8'}, {'url': '/u/anmolmakkar666', 'rating': '4.9'}, {'url': '/u/KirillRomadanov1', 'rating': '4.8'}, {'url': '/u/akilgd96', 'rating': '4.8'}, {'url': '/u/mjanchi', 'rating': '5.0'}, {'url': '/u/FedorKhyazkin1', 'rating': '5.0'}, {'url': '/u/pp8180713', 'rating': '5.0'}, {'url': '/u/Adelhamdy97', 'rating': '0.0'}]"
I need a Elementor Expert,6 days left,https://www.freelancer.com/projects/website-design/need-elementor-expert/,To upload information via Elementor.,"Website Design, Elementor", ₹200-400 INR / hour,['E-mail Verified'],1 freelancer is bidding on average ₹1300 for this job,[]
HELP ME MAKE THIS SPEECH FLOW,6 days left,https://www.freelancer.com/projects/editing/help-make-this-speech-flow/,"I have a speech written and just need quick help pasting all my points together.
They need to flow well into each other effortlessly and if you’d like to add your own flare you’re more than welcome as long as it relates to the speech.","Editing, English Grammar, Speech Writing", $10-30 AUD,"['E-mail Verified', 'Payment Verified']",11 freelancers are bidding on average $17 for this job,"[{'url': '/u/Stopsolution', 'rating': '4.0'}, {'url': '/u/Annmarie1995', 'rating': '0.0'}, {'url': '/u/writingvector', 'rating': '0.0'}, {'url': '/u/faizaniqbal4u', 'rating': '0.0'}, {'url': '/u/yogita0605', 'rating': '5.0'}, {'url': '/u/FatemaKhalil200', 'rating': '0.0'}, {'url': '/u/Kangkanadas12', 'rating': '0.0'}, {'url': '/u/SyedTaha04', 'rating': '0.0'}, {'url': '/u/fededistefano81', 'rating': '0.0'}, {'url': '/u/Chegeh21', 'rating': '0.0'}]"
Fix Features in Existing Dating android app,6 days left,https://www.freelancer.com/projects/android/fix-features-existing-dating-android/,"Main-
-        In Swipe Activity must only show selected gender and not both, also if the user declined swiped left (dislike the profile) it must not be shown again for 30days.
Also make sure the source only displays users as per selected criteria i.e. age, location distance, etc.

Settings Activity-
-	Source Displays both Male and Female and not only the selected gender. 
-	Maximum Distance not changing the Km-Mi. when selected show distance in.
-	Help & Support Link - Add option to open when clicked opens mail.

Credits Activity
-	In the credits menu / Free Credits not working (Think Admob Issue)

","Android, Android App Development, Mobile App Development", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",3 freelancers are bidding on average $185 for this job,"[{'url': '/u/tayabani', 'rating': '0.0'}, {'url': '/u/bayourshokan', 'rating': '0.0'}]"
DATING APP DEVELOPMENT LIKE Jaumo AND Badoo. Tinder in total budget 1000 US dollars,6 days left,https://www.freelancer.com/projects/mobile-phone/dating-app-development-like-jaumo/,"Tools needed for dating app development
Types of tools	Mobile/back-end for android and ios 
Programming languages	React Native, Java, Kotlin, Swift
Frameworks	Node.js, [login to view URL], [login to view URL], React Router
Database	PostgreSQL, MongoDB, Redis
Cloud storage	Amazon S3
Web     servers	Nginx
Payment gateway	Stripe, PayPal visacard
General utilities	Optimizely, Twilio, Elasticsearch, Google Maps, Google Analytics.
additional 
1-AI-powered chatbots
2-vedio voice call 
3-verification profile
4-Control Api Language Integration.
5-Chat with new people near you and around the world
6-Livestream and feel the love
7- Find people who share your interests
8-Card swipe feature

Approximate development time of a dating app.
Feature
Dating App Features	Backend	iOS 	Android 
Social sign in
User profile	
Geolocation	
Matching	
Chatting	
Push notifications
Swiping	
Settings	
winning

NOTICE I have logo and domain name	","Mobile App Development, iPhone, Android, React Native, Java", €750-1500 EUR,['E-mail Verified'],9 freelancers are bidding on average €1333 for this job,"[{'url': '/u/heenafullstacken', 'rating': '4.8'}, {'url': '/u/anuragaadi', 'rating': '4.4'}, {'url': '/u/Mohammad4thD', 'rating': '0.0'}, {'url': '/u/pinkeegupta', 'rating': '0.0'}, {'url': '/u/surtisen887773', 'rating': '0.0'}, {'url': '/u/ashwana2', 'rating': '0.0'}, {'url': '/u/ModernTechno442', 'rating': '5.0'}, {'url': '/u/pixxelu16', 'rating': '0.0'}]"
UKS Money & IMF Pvt Ltd logo,6 days left,https://www.freelancer.com/projects/logo-design/uks-money-imf-pvt-ltd/,We want to make our company logo..we are in finance sector so we want the logo attractive simple and formal.,"Logo Design, Graphic Design", ₹400-750 INR / hour,['E-mail Verified'],4 freelancers are bidding on average ₹491/hour for this job,"[{'url': '/u/sajeebhasan166', 'rating': '4.9'}, {'url': '/u/wingtechnologies', 'rating': '4.9'}, {'url': '/u/shariqhamid638', 'rating': '4.8'}]"
Find marketing influencers and communities in social media,6 days left,https://www.freelancer.com/projects/internet-marketing/find-marketing-influencers-communities/,"I need an assistance on data mining and research to find digital marketing influencers and experts in Indonesia. 

1. The first task is to find marketing/digital marketing/SEO/SMM influencers in social media, such as: Instagram, Twitter, Youtube, TikTok.

Expectations:
Influencer should be 21 years old plus+
Influencer posts information about digital marketing tools, cases, strategies, their own experience. 
Posts should have an educational value and useful, and contain some 
Would be great, if an influencer has speaker and educator experience (as a webinar host, or online course speaker, or a lecturer etc)
Influencer have at least one account in following social media: Instagram, Twitter, Youtube, TikTok.
The account should have not less than 1500 subscribers 

2. The second task is to find influencers, who worked with Ruang Guru, Quipper, Binar academy

3. The third task is to find digital marketing experts (SEO, SMM, Google ads experts, marketing strategists), who worked as a speaker (lecturer) with Binar Academy, Ruang Guru, Quipper

4.  The fourth task is to find lecturers from Indonesian universities, who are giving the lectures for the following topics

1. marketing strategy
2. digital marketing 
3. marketing tools
4. SMM
As a result of the task I need a list of contacts: Linkedin, email, WhatsApp, telegram  

5. The last task is to find digital marketing chats and communities in WhatsApp/telegram/Line
As a result I expect the links/invitation to these communities ","Internet Marketing, Social Media Marketing, Data Mining, Virtual Assistant", $30-250 USD,['E-mail Verified'],3 freelancers are bidding on average $123 for this job,"[{'url': '/u/usmanbashir12100', 'rating': '5.0'}, {'url': '/u/orniislam91', 'rating': '0.0'}]"
Help with vue.js app,6 days left,https://www.freelancer.com/projects/vue-js/help-with-vue-app/,"I'm currently building a vue.js app which consists of a log in screen (using firebase) and then a simple home page that consists of a number of components including a left nav bar , a top bar and an iframe.

I'm looking for a developer who can work with me to make improvements to this app.   I am relatively new to vue.js so would like to hire someone who can explain the changes they are making so that I can also learn myself

The current challenge I have is that I am trying to add an iframe component to my [login to view URL] page and I need the iframe to sit to the right on the left nav bar component.   Depending on whether the nav bar is open or closed should determine the size of the iframe. 

I have other little requirements like this that would probably be easy to do by an experienced developer.   I would like someone who is available on a hourly basis that can make ongoing changes when needed

Thanks","Vue.js, Google Firebase, LESS/Sass/SCSS, Tailwind CSS", $10-25 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",8 freelancers are bidding on average $14/hour for this job,"[{'url': '/u/tohamelnik', 'rating': '5.0'}, {'url': '/u/smirnovvvasyl', 'rating': '5.0'}, {'url': '/u/NagarajTN', 'rating': '5.0'}, {'url': '/u/tsroma4dspo', 'rating': '5.0'}, {'url': '/u/wadielnatrontv', 'rating': '5.0'}, {'url': '/u/Aleksbar', 'rating': '0.0'}, {'url': '/u/eadjeieric7', 'rating': '0.0'}]"
Copy typings,6 days left,https://www.freelancer.com/projects/word/copy-typings-33189479/,We have a lot of bundle of images that needs to be retype to Microsoft word ,"Word, Data Entry, Copy Typing, PDF, Excel", $250-750 USD,['E-mail Verified'],Other jobs from this employer,[]
Adwords expert,6 days left,https://www.freelancer.com/projects/google-adwords/adwords-expert-33189420/,I want an adword expert for me digital marketing agency.,"Google Adwords, Internet Marketing, SEO, Advertising, Search Engine Marketing", ₹12500-37500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",4 freelancers are bidding on average ₹20675 for this job,"[{'url': '/u/rstomar', 'rating': '5.0'}, {'url': '/u/Synamatic', 'rating': '5.0'}, {'url': '/u/aniketguhe00', 'rating': '0.0'}]"
!! I need a robot character designed ## animated GIF,6 days left,https://www.freelancer.com/projects/illustrator/need-robot-character-designed-animated/,"I need someone to create and draw/ design some animated gif robot characters. 

show me examples of your artwork. 

thanks","Illustrator, Caricature & Cartoons, Character Illustration, GIF Animation", $10-150 USD,"['E-mail Verified', 'Payment Verified']",6 freelancers are bidding on average $87 for this job,"[{'url': '/u/mehtaanjli05', 'rating': '5.0'}, {'url': '/u/operat0r', 'rating': '4.9'}, {'url': '/u/enilatech', 'rating': '4.9'}, {'url': '/u/hossainbaf', 'rating': '4.7'}, {'url': '/u/shariqhamid638', 'rating': '5.0'}]"
Copy typing,6 days left,https://www.freelancer.com/projects/data-entry/copy-typing-33189473/,"I want someone who can convert images to
words, Indians excluded","Data Entry, Copy Typing, Excel, Word, Data Processing", $250-750 USD,['E-mail Verified'],1 freelancer is bidding on average $300 for this job,[]
Chinese transition,6 days left,https://www.freelancer.com/projects/simplified-chinese-china/chinese-transition-33189470/,"I need translators urgently if you are
interested in this job..
Kindly place a bid on this project ","Simplified Chinese (China), Traditional Chinese (Hong Kong), Translation, Data Entry, English (US) Translator", $250-750 USD,['E-mail Verified'],1 freelancer is bidding on average $500 for this job,[]
Polish transition,6 days left,https://www.freelancer.com/projects/polish/polish-transition-33189463/,"I need Polish translators urgently if you are
interested in this job. 
Kindly place a bid on this project ","Polish, Translation, English (US) Translator, Proofreading, English (UK) Translator", $250-750 USD,['E-mail Verified'],Other jobs from this employer,[]
Danish transition,6 days left,https://www.freelancer.com/projects/danish-translator/danish-transition-33189457/,"I need Danish translators urgently if you are
interested in this job..
Kindly place a bid on this job..","Danish Translator, Translation, Swedish, English (UK) Translator, Finnish Translator", $250-750 USD,['E-mail Verified'],Other jobs from this employer,[]
11 Villas Tender Model,6 days left,https://www.freelancer.com/projects/3d-modelling/villas-tender-model/,I have  a project composed of 11 villas that need to be modeled Architecturally for tendering and pricing needs. The duration of the model is 15 days. ,"3D Modelling, Building Architecture, Autodesk Revit, Revit Architecture", $750-1500 USD,['E-mail Verified'],21 freelancers are bidding on average $888 for this job,"[{'url': '/u/stargateinfotech', 'rating': '4.8'}, {'url': '/u/reyyaricha', 'rating': '4.9'}, {'url': '/u/androaiad', 'rating': '4.9'}, {'url': '/u/fireflies3d', 'rating': '4.8'}, {'url': '/u/Artsakh89', 'rating': '5.0'}, {'url': '/u/ahmedghorab40', 'rating': '4.7'}, {'url': '/u/sanjaypatel2', 'rating': '5.0'}, {'url': '/u/saarchitect2580', 'rating': '4.8'}, {'url': '/u/ivandeveloper1', 'rating': '5.0'}, {'url': '/u/AndreiRomadanov1', 'rating': '5.0'}, {'url': '/u/daniel147196', 'rating': '5.0'}, {'url': '/u/AlinaDeveloper1', 'rating': '5.0'}, {'url': '/u/Sisibala35', 'rating': '3.2'}, {'url': '/u/ruslangimadeev83', 'rating': '5.0'}, {'url': '/u/pp8180713', 'rating': '5.0'}, {'url': '/u/cigdemce', 'rating': '5.0'}, {'url': '/u/MrmRazeel', 'rating': '5.0'}, {'url': '/u/arslanu2', 'rating': '0.0'}, {'url': '/u/abdolaghdas1989', 'rating': '0.0'}]"
Typing jobs,6 days left,https://www.freelancer.com/projects/data-entry/typing-jobs-33189447/,"New freelancers are urgently needed to bid
for this job much experience is not needed
(Budget: $15 - $25 USD, Jobs: Copy Typing,
Data Entry, Excel, PDF Word). ","Data Entry, Excel, Copy Typing, Word, Data Processing", $250-750 USD,['E-mail Verified'],37 freelancers are bidding on average $425 for this job,"[{'url': '/u/Sunduskhaanuun20', 'rating': '0.0'}, {'url': '/u/TrieuChi', 'rating': '0.0'}, {'url': '/u/indrjeetvishvkar', 'rating': '0.0'}, {'url': '/u/hamzabhatti5595', 'rating': '0.0'}, {'url': '/u/Shakil360GD', 'rating': '0.0'}, {'url': '/u/tripathiblogs44', 'rating': '0.0'}, {'url': '/u/thhakuraman', 'rating': '0.0'}, {'url': '/u/afsheenkanwal5', 'rating': '0.0'}, {'url': '/u/laumpatro15', 'rating': '0.0'}, {'url': '/u/akt125418', 'rating': '0.0'}, {'url': '/u/nayna4774', 'rating': '0.0'}, {'url': '/u/nmmishra409', 'rating': '0.0'}, {'url': '/u/mudassir0051', 'rating': '0.0'}, {'url': '/u/shabeenasuhani95', 'rating': '0.0'}, {'url': '/u/Huntersubash', 'rating': '0.0'}, {'url': '/u/mazeemkhan012564', 'rating': '0.0'}, {'url': '/u/abhijithkrishna2', 'rating': '0.0'}, {'url': '/u/zahid252865', 'rating': '0.0'}, {'url': '/u/javeriafirdous7', 'rating': '0.0'}]"
German transition,6 days left,https://www.freelancer.com/projects/german/german-transition-33189442/,"I need German translators urgently if you are
interested in this job. 
Kindly place a bid on this project..","German, Translation, English (US) Translator, English (UK) Translator, Proofreading", $250-750 USD,['E-mail Verified'],2 freelancers are bidding on average $500 for this job,"[{'url': '/u/cedricxscott', 'rating': '0.0'}]"
Sheet Metal Forming or Pipe Forming,6 days left,https://www.freelancer.com/projects/mechanical-engineering/sheet-metal-forming-pipe-forming/,"Hey, 
I need help with the project.

Thanks.
","Mechanical Engineering, Mechanical Design, Manufacturing Design, Engineering, Software Architecture", $250-750 USD,"['E-mail Verified', 'Made a Deposit']",7 freelancers are bidding on average $400 for this job,"[{'url': '/u/Friends4it', 'rating': '4.5'}, {'url': '/u/gusakovanastenka', 'rating': '5.0'}, {'url': '/u/ahmedghorab40', 'rating': '5.0'}, {'url': '/u/AGSATYAN', 'rating': '0.0'}, {'url': '/u/ravibroliya1996', 'rating': '0.0'}, {'url': '/u/FedorKhyazkin1', 'rating': '0.0'}]"
Instagram Account manager,6 days left,https://www.freelancer.com/projects/social-media-marketing/instagram-account-manager-33182478/,"Looking for someone who provides Instagram account managing services.
Video shooting (in Dubai), poster creation, caption writing, etc.","Social Media Marketing, Video Production, Graphic Design, Content Writing", $250-750 USD,['E-mail Verified'],9 freelancers are bidding on average $356 for this job,"[{'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/Diiggital', 'rating': '5.0'}, {'url': '/u/bapitikader', 'rating': '4.7'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/SupremeWriters', 'rating': '4.9'}, {'url': '/u/akashkhandaker', 'rating': '5.0'}, {'url': '/u/FineIdeas', 'rating': '5.0'}, {'url': '/u/kpkumkum1', 'rating': '0.0'}]"
Russian Transition,6 days left,https://www.freelancer.com/projects/russian/russian-transition-33189434/,"I need Russia translators urgently if you are
interested in this job 
Kindly bid on the project..","Russian, Translation, Web Search, Article Writing, English (US) Translator", $250-750 USD,['E-mail Verified'],4 freelancers are bidding on average $500 for this job,"[{'url': '/u/Jesslez', 'rating': '0.0'}, {'url': '/u/florense5', 'rating': '0.0'}, {'url': '/u/Bakhtuwillon', 'rating': '0.0'}]"
Convert image to word -- 2,6 days left,https://www.freelancer.com/projects/graphic-design/convert-image-word-33189432/,I need a freelancer who can help me convert written images to Word and PDF documents.,"Graphic Design, Data Entry, Photoshop, PDF, Word", $250-750 USD,['E-mail Verified'],19 freelancers are bidding on average $429 for this job,"[{'url': '/u/Sunduskhaanuun20', 'rating': '0.0'}, {'url': '/u/rafiqQais', 'rating': '0.0'}, {'url': '/u/TrieuChi', 'rating': '0.0'}, {'url': '/u/hemantmendiratt7', 'rating': '0.0'}, {'url': '/u/binodrpachakoti1', 'rating': '0.0'}, {'url': '/u/farithkizito', 'rating': '0.0'}, {'url': '/u/Rajbir1239', 'rating': '0.0'}, {'url': '/u/puspacetry002', 'rating': '0.0'}, {'url': '/u/Resolutionn', 'rating': '0.0'}, {'url': '/u/saara9030', 'rating': '0.0'}, {'url': '/u/vaishalis812', 'rating': '0.0'}, {'url': '/u/sharafatnh', 'rating': '0.0'}, {'url': '/u/seydamacit', 'rating': '0.0'}, {'url': '/u/Raaim', 'rating': '0.0'}, {'url': '/u/zahidabbas512', 'rating': '0.0'}, {'url': '/u/alyanj', 'rating': '0.0'}, {'url': '/u/judyamordaro', 'rating': '0.0'}, {'url': '/u/Saksham9452', 'rating': '0.0'}]"
Portuguese transition,6 days left,https://www.freelancer.com/projects/translation/portuguese-transition-33189424/,"I need Portuguese translators urgently
Kindly reach out to me by biding on the project...
","Translation, Portuguese, Portuguese (Brazil), Spanish, Audio Services", $15-25 USD / hour,['E-mail Verified'],Other jobs from this employer,[]
New Logos for Business,6 days left,https://www.freelancer.com/contest/new-logos-for-business-2066159.html,,,,[],,[]
PDF to Word,6 days left,https://www.freelancer.com/projects/word/pdf-word-33189421/,Looking for a new freelancer who have good typing skills to type data from 70 PDF into Word document with utmost accuracy,"Word, Data Entry, PDF, Copy Typing, Excel", €12-18 EUR / hour,['E-mail Verified'],5 freelancers are bidding on average €15/hour for this job,"[{'url': '/u/amanloeta', 'rating': '0.0'}, {'url': '/u/mascardoluis', 'rating': '0.0'}, {'url': '/u/tripathiblogs44', 'rating': '0.0'}, {'url': '/u/mohsindavid', 'rating': '0.0'}]"
